,zcta,poverty_rate,unemployment_rate,median_household_income
107,14091,21.68141592920354,4.6538024971623155,52434.0
108,14127,4.111062556724596,1.639881928501148,90210.0
109,14836,2.73972602739726,6.3711911357340725,72750.0
110,14850,23.832634752555336,2.2014490990912723,55987.0
111,14865,17.922457937088517,2.423469387755102,43846.0
112,14872,1.7001545595054095,7.553956834532374,58333.0
113,14873,13.56393315196269,2.8282828282828283,49761.0
114,14881,0.0,0.0,81797.0
115,14569,11.584833129477547,2.8294260307194827,55147.0
116,14606,19.096406972607614,4.057428214731586,44553.0
117,14617,5.535541692294175,2.862127241999673,69677.0
118,11428,7.636711484296116,3.343601591580028,78368.0
119,11433,16.355140186915886,8.790189612530915,54253.0
120,11507,3.4740484429065743,1.5611885177102567,133324.0
121,11510,4.509579467405712,3.1326713809401676,115822.0
