Reporting Year,"Aggregate Level (Citywide, Borough, Council District, Census Tract)",Aggregate Level ID,Total #Storefronts,Median Square Feet,Average Square Feet,#Storefront leased to tenants,#Storefront leased and not operating on 12/31,Median Monthly Rent Per Square Foot,Average Monthly Rent Per Square Foot,Median Years Leased,Average Years Leased,#Storefronts with Leases Ending after 12/31,Median Years Lease Term Remaining after 12/31,Average Years Lease Term Remaining after 12/31,Number whose lease is due to expire within the two years after 6/1,#Storefront Reported Occupied by Owner,Median Years Occupied by Owner,Average Years Occupied by Owner,#Storefront reported Not Leased and Not Owner Occupied,Median Years Not Leased and Not Owner Occupied,Average Years Not Leased and Not Owner Occupied,#Storefront under construction with DOB Projects Listed,Median years for construction projects,Average years for construction projects
2021,Census Tract,5.0021.00,56,1768.00,4122.09,41,*,2.00,3.99,5.00,9.10,20,3.33,3.58,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0008.00,25,1550.00,4705.04,14,0,2.29,5.58,3.00,6.60,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0006.00,29,1600.00,3712.14,22,0,2.00,1.98,5.00,5.82,13,3.01,4.93,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0003.00,54,1000.00,1698.61,43,*,2.06,3.12,3.00,4.80,22,0.83,1.60,12,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1621.00,17,960.00,1357.71,14,0,2.00,2.34,8.00,7.33,11,3.16,3.55,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1617.00,15,2250.00,6555.73,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1579.03,10,1847.50,2979.00,*,*,*,*,*,*,*,*,*,0,*,*,*,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,4.1579.02,14,1089.00,2265.86,11,0,2.08,2.64,1.00,4.45,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1579.01,21,1037.00,1922.67,19,*,3.83,3.87,9.94,14.08,19,3.50,7.09,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1571.01,30,1265.00,1806.83,26,0,3.00,3.65,14.00,14.40,24,2.71,4.58,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1551.02,34,2035.00,7332.00,31,0,4.00,4.81,21.05,21.20,30,2.96,5.42,12,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1551.01,21,1140.00,2505.19,18,0,1.00,2.11,7.00,10.02,15,5.00,6.62,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1529.01,18,1400.00,17416.50,13,0,6.50,6.75,20.01,35.01,12,8.30,15.84,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1507.02,56,1500.00,2108.96,50,20,3.88,4.48,10.00,11.17,37,2.42,4.38,17,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1479.00,99,1200.00,1790.61,76,0,3.00,7.01,8.00,8.41,45,3.67,4.46,16,11,1.00,8.24,12,1.00,1.30,0,0.00,0.00
2021,Census Tract,4.1471.00,60,1140.00,3211.43,49,*,4.00,5.30,1.00,4.51,11,3.50,4.13,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1467.00,79,1500.00,2567.09,72,*,5.00,6.89,3.00,5.55,30,3.21,5.20,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1463.00,33,1950.00,3099.00,24,0,4.00,4.17,2.50,4.86,12,2.50,2.98,*,*,*,*,*,*,*,0,0.00,0.00
